strategyId,strategyName,strategyFamily,timeframe,status,primaryFailureType,primaryFailureLabelZh,severity,confidence,confidenceScore,causalityProven
strategy_version_24a8b0e0d1b5d871b487fa2827be138d5b1eb572ff76be176145368348d7f4ee,1D 超卖扫低收回 ATR1.2 影子 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_1d_oversold_sweep_reclaim_atr12_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_c308c66aeb070009e17ff1eaeb63177d4c17647c6679ca13d8dd49a011d84085,1D 超卖扫低收回 ATR1.2 影子,event_1d_oversold_sweep_reclaim_atr12_v1,1d,archived,risk_model_failure,账户风险路径不合格,high,high,0.98,False
strategy_version_d60318ed12b046daf11532980d9ee32d351bf4768de70643064b4dfb1668da13,1D 超卖扫低收回 ATR1.2 影子 · 自动优化 1/3,event_1d_oversold_sweep_reclaim_atr12_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_50f9997f897aed3273c0ad22e23c1498919e1969e2d4c4b2717c9a77bb2dafdb,1D 趋势压缩释放 ATR2.0 · 自动优化 1/3,event_1d_squeeze_breakout_atr20_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_a80c785eebf379a311de35b1697e39956849177a157f2d789aaeed433f3a80e3,1D 趋势压缩释放 ATR2.0,event_1d_squeeze_breakout_atr20_v1,1d,archived,risk_model_failure,账户风险路径不合格,high,high,0.98,False
strategy_version_d4d841276584aca7194e5a5c2fa51377333218a9d6b0f69a0fee58c8207f9386,1D 趋势压缩释放 ATR2.0 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_1d_squeeze_breakout_atr20_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_def8b042c06cdf847dd71ca9be009465b18c1d281692f8a09cc06ab42d8c01ed,1D 趋势压缩释放 ATR2.0 · 自动优化 1/3 · 自动优化 2/3,event_1d_squeeze_breakout_atr20_v1,1d,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_b1f514eeea7d2a74d3600ac81e904cd4e856a069e022f2119ddd8e371105a890,4H 牛市恢复收回 ATR1.5 持有24,event_4h_bull_recovery_atr15_h24_v1,4h,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_b6d73bdeb0780cb33b6b5575ab274e073e904378053600657b59f3b4e92e3833,4H 牛市恢复收回 ATR1.5 持有24 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_4h_bull_recovery_atr15_h24_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_cf8af866637ba9ab2ef5c9b5e1b02e8f867bd045c057f791ba5420ea1ba7001c,4H 牛市恢复收回 ATR1.5 持有24 · 自动优化 1/3 · 自动优化 2/3,event_4h_bull_recovery_atr15_h24_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_f1df88d2400a1323e843d328bab257b3f4b71638ed9cf56f0b71e38b2a984add,4H 牛市恢复收回 ATR1.5 持有24 · 自动优化 1/3,event_4h_bull_recovery_atr15_h24_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_1fd24b16d5b80cefc1d5cd721feeb689d7cf7e7867164eaf88b5c9264dcf62ca,4H 牛市恢复收回 ATR1.8 持有24 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_4h_bull_recovery_atr18_h24_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_6580234872b085574493975bce8f8b3e6b186f63b1e929de9052752a90d90ac5,4H 牛市恢复收回 ATR1.8 持有24,event_4h_bull_recovery_atr18_h24_v1,4h,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_93de266822ad32cff679d3b44838dc07cebe18524dcf481b3228e5f3ac678e01,4H 牛市恢复收回 ATR1.8 持有24 · 自动优化 1/3,event_4h_bull_recovery_atr18_h24_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_a6d3d076adbf69cb4672db3369d7052a82def12b13b9f322201ece7473cc0e56,4H 牛市恢复收回 ATR1.8 持有24 · 自动优化 1/3 · 自动优化 2/3,event_4h_bull_recovery_atr18_h24_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_215d29c941611ddf0d16158f24ba9aa417959f4b07eeef03efa913c061d1be86,4H 牛市恢复收回 ATR2.0 持有24 · 自动优化 1/3 · 自动优化 2/3,event_4h_bull_recovery_atr20_h24_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_3333d13e1341a84795ec19c8bd6ce8a08de5a06e5058e4623dce3bb4f05cd346,4H 牛市恢复收回 ATR2.0 持有24 · 自动优化 1/3,event_4h_bull_recovery_atr20_h24_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_ae40a1bece7e086d651b501745c96d2ce0c92d4764a8cdf3103b379c25a2ab0b,4H 牛市恢复收回 ATR2.0 持有24 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_4h_bull_recovery_atr20_h24_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_def3abcc430827e0b9a0b4d82354bd97b609a909ed9cfa566da832348a28c29d,4H 牛市恢复收回 ATR2.0 持有24,event_4h_bull_recovery_atr20_h24_v1,4h,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_07b1418e7bd677f369d4324107846eb7e89e37418259510f43c24b81264e2066,4H 牛市恢复收回 ATR2.0 持有30 · 自动优化 1/3 · 自动优化 2/3,event_4h_bull_recovery_atr20_h30_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_4bad11c8c9421bb6ad2e14dc21443f03ebc8e06de44e78ef66cb3dea203696d2,4H 牛市恢复收回 ATR2.0 持有30 · 自动优化 1/3,event_4h_bull_recovery_atr20_h30_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_6cf37c25ddfbeac31172f995d0f943d7ef1cf7412a6e142320aca30a813e6a9e,4H 牛市恢复收回 ATR2.0 持有30 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_4h_bull_recovery_atr20_h30_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_9d6fc684a332bf985f820e2bb9e36e55991300dc96fb3a6f4f448aa645e7f7bb,4H 牛市恢复收回 ATR2.0 持有30,event_4h_bull_recovery_atr20_h30_v1,4h,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_31987e8107f5a7abef67f3a6d124d5c391e84ca071f444bb89b1e7f8201c0ea3,4H 牛市恢复收回 ATR2.0 持有36 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,event_4h_bull_recovery_atr20_h36_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_e4ec831cb4a7746c8ca408759ee34911f495ac3d8001b1a9ca938c7afb9c72ab,4H 牛市恢复收回 ATR2.0 持有36 · 自动优化 1/3 · 自动优化 2/3,event_4h_bull_recovery_atr20_h36_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_efb4f03f80fe19c7c18f6eae171c99a2fc5aeb7928c771d0a406de74f8fe6599,4H 牛市恢复收回 ATR2.0 持有36,event_4h_bull_recovery_atr20_h36_v1,4h,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_f8cc3b3443785f8ee518a1a2580d4ee8351a91a6cf3fb066154da5478aa3bae2,4H 牛市恢复收回 ATR2.0 持有36 · 自动优化 1/3,event_4h_bull_recovery_atr20_h36_v1,4h,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_90b5ec579c9a9de31b451f180ba3090761515819d60d58fe9f9651e9c59cea3a,15m EMA20 回收反弹 ATR1.4,short_cycle_15m_ema_reclaim_long_v1,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_56a0c46b8d1d62badb98d2e0801d00f8978599cac284778a30bf58ab960005d7,15m 趋势动量延续 ATR1.4,short_cycle_15m_momentum_continuation_long_v1,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_af60f98c20f23db4a5e0c651fa7090401abf1a98950a6e4b3026c66e7ba591b3,15m 跌破放量延续 ATR1.4,short_cycle_15m_short_breakdown_momentum_v1,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_cc234c31716b9359905692f57d1f79d78738af680ea1bb49aada9b1f33f55242,15m 上影拒绝回落 ATR1.4,short_cycle_15m_short_rejection_v1,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_44d8fd5fbe79f93368e8705472634fb9f011edcd8715c95004514cc861518c43,15m 低波压缩突破 ATR1.4,short_cycle_15m_squeeze_breakout_long_v1,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_43859382282f4cdeb65b2c03a88bed89d22be7de22d232792ef8192805c27313,5m 放量突破延续 ATR1.2,short_cycle_5m_breakout_volume_long_v1,5m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_a0b6083231c6de31c893bc8033603f51ed6414e86c0c28f44ac5362b4ef18008,5m EMA20 回收反弹 ATR1.2,short_cycle_5m_ema_reclaim_long_v1,5m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_efdfb8d728ab2c36e846f1773c6d5bd524c39c28c9bc05b009abcfe1d7cd5122,5m 极端超卖收回 ATR1.2,short_cycle_5m_mean_reversion_reclaim_long_v1,5m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_b5058256b2435926a06fb8f360a0891a57b1983d755029ae51185378156dab7f,5m 跌破放量延续 ATR1.2,short_cycle_5m_short_breakdown_momentum_v1,5m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_e941bd5162ebef4bae97bc3340750898cb8c036021c37c5a3ea0547ac60d6da9,5m 上影拒绝回落 ATR1.2,short_cycle_5m_short_rejection_v1,5m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_051d770d30bfa1d65580a44b4dd73a6527e9ea681531c2449d9cc1f0bc7fd5a8,15m 假突破弱趋势反转 因子后继 ATR1.2 · 自动优化 1/3 · 自动优化 2/3,short_cycle_event_15m_failed_breakout_factor_v2,15m,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_102767c170500ec47b51538c17deea4e3e96950cb8ebd47611079424e8a8d526,15m 假突破弱趋势反转 因子后继 ATR1.2 · 自动优化 1/3,short_cycle_event_15m_failed_breakout_factor_v2,15m,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_49287f463d315ea22e9c6636e0e9096169b01e5cbf9361a6befd7807a618d3d2,15m 假突破弱趋势反转 因子后继 ATR1.2 · 自动优化 1/3 · 自动优化 2/3,short_cycle_event_15m_failed_breakout_factor_v2,15m,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_4b3df3cc6fd3deac9ab6c8031620c09adbf238f315b8a404eab50ab57ef32ed8,15m 假突破弱趋势反转 因子后继 ATR1.2 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,short_cycle_event_15m_failed_breakout_factor_v2,15m,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_57dfa8d5b1d318e25add2c2e310435cc5bfd03aa8c574907a3c877f66ab41527,15m 假突破弱趋势反转 因子后继 ATR1.2 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,short_cycle_event_15m_failed_breakout_factor_v2,15m,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_5f27f24019c5fff46eaf083dc5a57c78029afb8f3c8fe3bab4f3dbe3093a8785,15m 假突破弱趋势反转 因子后继 ATR1.2,short_cycle_event_15m_failed_breakout_factor_v2,15m,archived,risk_model_failure,账户风险路径不合格,high,high,0.98,False
strategy_version_a92bde6bb51629d1f7c5d74017594a46e9ee593dbe525412b89e6c8be24147ec,15m 假突破弱趋势反转 因子后继 ATR1.2 · 自动优化 1/3,short_cycle_event_15m_failed_breakout_factor_v2,15m,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_b6255a41f413596f115dca1be2b5f3009316daffda063bf8d6a5a92ad085005d,15m 假突破弱趋势反转 因子后继 ATR1.2,short_cycle_event_15m_failed_breakout_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_0acc80e3066795e4e60ce7f1f6e515e44a5dafec72206a70b5ddf31a0caab6fa,15m 弱势回抽市场斜率确认 因子后继 ATR1.2 / structural redesign G1 / structural redesign G2 / structural redesign G3,short_cycle_event_15m_failed_reclaim_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_42ff5a0967ca0cbc4c0840c5eb29bd5010694ac3c33ac432e9126e75e0125b83,15m 弱势回抽市场斜率确认 因子后继 ATR1.2 · 自动优化 1/3 / structural redesign G1 / structural redesign G2,short_cycle_event_15m_failed_reclaim_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_5949f992c2c59cd58b8d2e8de59d0506a55dbb18170c583c77baa67e9f0f60c1,15m 弱势回抽市场斜率确认 因子后继 ATR1.2,short_cycle_event_15m_failed_reclaim_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_70f43cd7f1dcb5f78fa7affb316a847e28532df2faff1f6377954bd9eb2210eb,15m 弱势回抽市场斜率确认 因子后继 ATR1.2 · 自动优化 1/3 / structural redesign G1 / structural redesign G2 / structural redesign G3,short_cycle_event_15m_failed_reclaim_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_7648bdf27d09229957e4021b46696ad28962e61ac9a7deec0bfe2145895e0440,15m 弱势回抽市场斜率确认 因子后继 ATR1.2 / structural redesign G1,short_cycle_event_15m_failed_reclaim_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_8506420e16871fe6bb9802534a11ab73aed3ede36439f51647194c09be06f3d6,15m 弱势回抽市场斜率确认 因子后继 ATR1.2 · 自动优化 1/3,short_cycle_event_15m_failed_reclaim_factor_v2,15m,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_b8838dd313b08b205fcfbf6ded95119d2b7f0eacbf2164b024159de0448f6729,15m 弱势回抽市场斜率确认 因子后继 ATR1.2 / structural redesign G1 / structural redesign G2,short_cycle_event_15m_failed_reclaim_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_d8dcd3fe385e3e58f78a78920dca6045a14d5136143f0cb035209c534bd4f09a,15m 弱势回抽市场斜率确认 因子后继 ATR1.2 · 自动优化 1/3 / structural redesign G1,short_cycle_event_15m_failed_reclaim_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_f97cf619cb9d530813b0121699e0f0e8e5cac398c1eb2755887ac38f9d74d371,15m 弱势回抽市场斜率确认 因子后继 ATR1.2,short_cycle_event_15m_failed_reclaim_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_2debfaffad01ab223bc4382eb2dc40b925b8275ff98cfaf1fdee9ec3ee213533,15m 弱势回抽区间衰竭 影子候选 ATR1.2,short_cycle_event_15m_failed_reclaim_range_shadow_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_600ecd1594f83b9f368cd6f87b4d261aa4fa1972dd06cbd407943db6dcca5946,15m 弱势回抽区间衰竭 影子候选 ATR1.2 / structural redesign G1 / structural redesign G2,short_cycle_event_15m_failed_reclaim_range_shadow_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_7b0f055c5cf13d5680a9fef3889080f38138700e0701c779b05f36f3acdae4a7,15m 弱势回抽区间衰竭 影子候选 ATR1.2 / structural redesign G1 / structural redesign G2 / structural redesign G3,short_cycle_event_15m_failed_reclaim_range_shadow_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_7f46ed77e59d22ffa4d0fa87faf504afdcc0e008f27d9af19c4cb3f2ab0df34e,15m 弱势回抽区间衰竭 影子候选 ATR1.2 / structural redesign G1,short_cycle_event_15m_failed_reclaim_range_shadow_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_478f9f11defb41a12d3422e919a786c410331a2e623c5fe6106771b90d883cdf,15m 趋势回踩波动环境确认 因子后继 ATR1.2,short_cycle_event_15m_trend_reclaim_btc_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_66e6438416f92c8ffd1d81825ebc346cef2e2d1126c06aec40edcad669a48f82,15m 趋势回踩波动环境确认 因子后继 ATR1.2 · 自动优化 1/3,short_cycle_event_15m_trend_reclaim_btc_factor_v2,15m,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_8a06606fc225797dae5372f3255dd523886318e34db2712f39be08eca5ebe7cb,15m 趋势回踩波动环境确认 因子后继 ATR1.2 · 自动优化 1/3 · 自动优化 2/3,short_cycle_event_15m_trend_reclaim_btc_factor_v2,15m,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
strategy_version_b1f6e99e039ff58696a1995b281f9909971f165f33d3f9b9c0f7f88a2037a4f4,15m 趋势回踩波动环境确认 因子后继 ATR1.2 / structural redesign G1,short_cycle_event_15m_trend_reclaim_btc_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_d481c4d476b7157aab07300ddb2d88b0263826a676157229d1c5979c0f649052,15m 趋势回踩波动环境确认 因子后继 ATR1.2,short_cycle_event_15m_trend_reclaim_btc_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_e54c6d21101670f4035a95cc288935478405df861927c1913f85d66ba7e7ba12,15m 趋势回踩波动环境确认 因子后继 ATR1.2 / structural redesign G1 / structural redesign G2,short_cycle_event_15m_trend_reclaim_btc_factor_v2,15m,archived,signal_edge_failure,信号边际为负,critical,high,0.98,False
strategy_version_f57167df0733f842693266e35e7e53a11a23481b210fc061dd09ab9b472a6cb6,15m 趋势回踩波动环境确认 因子后继 ATR1.2 · 自动优化 1/3 · 自动优化 2/3 · 自动优化 3/3,short_cycle_event_15m_trend_reclaim_btc_factor_v2,15m,archived,data_evidence_gap,证据不完整,medium,medium,0.54,False
