instrumentId,exchange,marketType,effectiveBacktestStart,commonCutoff,historyMonths,coveragePct,missingRatePct,liquidityScore,included,reasonZh
ALGO-USDT-SWAP,okx,swap,2020-05-13T08:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",74.0151,99.157643,0.842357,11.73136299,True,满足固定核心池的来源、历史、完整度和活跃度门槛
AVAX-USDT-SWAP,unverified_local_exchange,swap,2020-09-23T06:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",67.6838,99.984943,0.015057,17.979882,True,满足固定核心池的来源、历史、完整度和活跃度门槛
XTZ-USDT-SWAP,unverified_local_exchange,swap,2020-04-23T06:00:00+00:00,"{""1h"": ""2026-05-15T09:00:00+00:00"", ""4h"": ""2026-05-15T04:00:00+00:00""}",72.9418,99.206173,0.793827,12.74912136,True,满足固定核心池的来源、历史、完整度和活跃度门槛
DOT-USDT-SWAP,unverified_local_exchange,swap,2020-08-25T07:00:00+00:00,,68.7036,99.986053,0.013947,16.65882363,False,排名超出本轮固定核心池上限
UNI-USDT-SWAP,unverified_local_exchange,swap,2020-09-17T04:00:00+00:00,,68.1068,99.985932,0.014068,16.82274615,False,排名超出本轮固定核心池上限
TRB-USDT-SWAP,unverified_local_exchange,swap,2020-09-08T09:00:00+00:00,,68.3368,99.961943,0.038057,16.56058945,False,排名超出本轮固定核心池上限
QTUM-USDT-SWAP,unverified_local_exchange,swap,2020-05-11T07:00:00+00:00,,72.2847,98.595821,1.404179,13.21286135,False,排名超出本轮固定核心池上限
KSM-USDT-SWAP,unverified_local_exchange,swap,2020-09-08T09:00:00+00:00,,68.3039,99.962926,0.037074,16.00919927,False,排名超出本轮固定核心池上限
THETA-USDT-SWAP,unverified_local_exchange,swap,2020-06-15T07:00:00+00:00,,71.1348,99.515086,0.484914,13.03360827,False,排名超出本轮固定核心池上限
XLM-USDT-SWAP,unverified_local_exchange,swap,2020-05-11T08:00:00+00:00,,72.345,99.098412,0.901588,11.58521139,False,排名超出本轮固定核心池上限
ONT-USDT-SWAP,unverified_local_exchange,swap,2020-05-06T07:00:00+00:00,,72.449,99.134634,0.865366,10.89401483,False,排名超出本轮固定核心池上限
CRV-USDT-SWAP,unverified_local_exchange,swap,2020-09-04T08:00:00+00:00,,68.3628,99.976973,0.023027,14.45441122,False,排名超出本轮固定核心池上限
SNX-USDT-SWAP,unverified_local_exchange,swap,2020-08-21T07:00:00+00:00,,68.9336,99.670367,0.329633,13.77698774,False,排名超出本轮固定核心池上限
SUSHI-USDT-SWAP,unverified_local_exchange,swap,2020-09-03T13:00:00+00:00,,68.4956,99.984013,0.015987,13.84864891,False,排名超出本轮固定核心池上限
IOTA-USDT-SWAP,unverified_local_exchange,swap,2020-05-18T07:00:00+00:00,,72.0219,98.501349,1.498651,10.70590306,False,排名超出本轮固定核心池上限
BAND-USDT-SWAP,unverified_local_exchange,swap,2020-09-07T11:00:00+00:00,,68.204,99.977923,0.022077,12.7691998,False,排名超出本轮固定核心池上限
EGLD-USDT-SWAP,unverified_local_exchange,swap,2020-12-22T07:00:00+00:00,,64.794,99.977818,0.022182,16.3854141,False,排名超出本轮固定核心池上限
NEAR-USDT-SWAP,unverified_local_exchange,swap,2020-12-21T11:00:00+00:00,,64.9199,99.983132,0.016868,15.61723102,False,排名超出本轮固定核心池上限
IOST-USDT-SWAP,unverified_local_exchange,swap,2020-05-13T07:00:00+00:00,,72.1862,99.546777,0.453223,7.00170827,False,排名超出本轮固定核心池上限
LRC-USDT-SWAP,unverified_local_exchange,swap,2020-09-09T12:00:00+00:00,,68.2984,99.977954,0.022046,10.94434387,False,排名超出本轮固定核心池上限
ZRX-USDT-SWAP,unverified_local_exchange,swap,2020-08-21T07:00:00+00:00,,68.9993,99.109219,0.890781,10.80099734,False,排名超出本轮固定核心池上限
1INCH-USDT-SWAP,okx,swap,2020-12-25T03:00:00+00:00,,66.601,99.97842,0.02158,12.16885629,False,排名超出本轮固定核心池上限
BAT-USDT-SWAP,unverified_local_exchange,swap,2020-08-28T07:00:00+00:00,,68.5339,98.916473,1.083527,10.49745464,False,排名超出本轮固定核心池上限
ZIL-USDT-SWAP,unverified_local_exchange,swap,2020-09-09T12:00:00+00:00,,68.3682,99.984983,0.015017,8.71776689,False,排名超出本轮固定核心池上限
MASK-USDT-SWAP,unverified_local_exchange,swap,2021-03-04T06:00:00+00:00,,62.5216,99.984675,0.015325,14.72040207,False,排名超出本轮固定核心池上限
RSR-USDT-SWAP,unverified_local_exchange,swap,2020-09-09T12:00:00+00:00,,68.2984,99.978957,0.021043,7.67810038,False,排名超出本轮固定核心池上限
GRT-USDT-SWAP,unverified_local_exchange,swap,2020-12-20T09:00:00+00:00,,64.9144,99.97786,0.02214,11.25614765,False,排名超出本轮固定核心池上限
ICP-USDT-SWAP,unverified_local_exchange,swap,2021-05-14T08:00:00+00:00,,60.1561,99.985209,0.014791,15.74230451,False,排名超出本轮固定核心池上限
LPT-USDT-SWAP,unverified_local_exchange,swap,2021-04-23T06:00:00+00:00,,60.8515,99.977506,0.022494,14.76778368,False,排名超出本轮固定核心池上限
MANA-USDT-SWAP,unverified_local_exchange,swap,2021-03-12T08:00:00+00:00,,62.2533,99.985708,0.014292,12.21734509,False,排名超出本轮固定核心池上限
SAND-USDT-SWAP,unverified_local_exchange,swap,2021-04-02T09:00:00+00:00,,61.5688,99.981102,0.018898,12.78013463,False,排名超出本轮固定核心池上限
CFX-USDT-SWAP,unverified_local_exchange,swap,2021-03-12T09:00:00+00:00,,62.1437,99.979075,0.020925,11.77634105,False,排名超出本轮固定核心池上限
CHZ-USDT-SWAP,unverified_local_exchange,swap,2021-03-12T08:00:00+00:00,,62.1437,99.985683,0.014317,11.23911963,False,排名超出本轮固定核心池上限
CRO-USDT-SWAP,unverified_local_exchange,swap,2021-04-08T08:00:00+00:00,,61.2621,99.945258,0.054742,9.57540706,False,排名超出本轮固定核心池上限
AGLD-USDT-SWAP,okx,swap,2021-09-07T09:00:00+00:00,,58.1793,99.983531,0.016469,12.3243402,False,排名超出本轮固定核心池上限
APE-USDT-SWAP,okx,swap,2022-03-17T13:00:00+00:00,,51.8987,99.982857,0.017143,14.28195716,False,排名超出本轮固定核心池上限
SHIB-USDT-SWAP,unverified_local_exchange,swap,2021-05-09T05:00:00+00:00,,60.3587,99.984126,0.015874,3.76513797,False,排名超出本轮固定核心池上限
API3-USDT-SWAP,okx,swap,2022-03-03T09:00:00+00:00,,52.3641,99.975168,0.024832,12.51331276,False,排名超出本轮固定核心池上限
APT-USDT-SWAP,okx,swap,2022-10-19T01:00:00+00:00,,44.8186,99.98015,0.01985,16.51053972,False,排名超出本轮固定核心池上限
AR-USDT-SWAP,okx,swap,2023-02-14T06:00:00+00:00,,40.9363,100.0,0.0,15.08838549,False,排名超出本轮固定核心池上限
ARB-USDT-SWAP,okx,swap,2023-03-23T14:00:00+00:00,,39.7098,100.0,0.0,14.32923372,False,排名超出本轮固定核心池上限
WLD-USDT-SWAP,okx,swap,2023-07-24T11:00:00+00:00,,35.6797,100.0,0.0,16.25902134,False,排名超出本轮固定核心池上限
AUCTION-USDT-SWAP,okx,swap,2023-12-01T07:00:00+00:00,,31.4086,100.0,0.0,15.49672187,False,排名超出本轮固定核心池上限
AEVO-USDT-SWAP,okx,swap,2024-03-13T10:00:00+00:00,,28.0192,100.0,0.0,10.48644725,False,排名超出本轮固定核心池上限
ACH-USDT-SWAP,okx,swap,2024-02-22T08:00:00+00:00,,28.6762,100.0,0.0,8.0437669,False,排名超出本轮固定核心池上限
ATH-USDT-SWAP,okx,swap,2024-06-13T03:00:00+00:00,,25.0075,100.0,0.0,8.99603771,False,排名超出本轮固定核心池上限
0G-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
2Z-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
A-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
AAOI-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
AAPL-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ACT-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ACU-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ADBE-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
AERO-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
AI-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
AIXBT-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ALAB-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ALLO-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
AMAT-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
AMD-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
AMZN-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ANIME-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ANTHROPIC-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
APLD-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
APR-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ARKM-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ARM-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ARX-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ASML-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ASTER-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ASTS-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
AT-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
AVGO-USDT-SWAP,,,,,,,,,,缺少周期: 1h
AVNT-USDT-SWAP,,,,,,,,,,缺少周期: 1h
AXS-USDT-SWAP,,,,,,,,,,缺少周期: 1h
AXTI-USDT-SWAP,,,,,,,,,,缺少周期: 1h
BILL-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
GAS-USDT-SWAP,,,,,,,,,,缺少周期: 4h
HBAR-USDT-SWAP,,,,,,,,,,缺少周期: 4h
HYPE-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
ICX-USDT-SWAP,,,,,,,,,,缺少周期: 4h
LAB-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
OKB-USDT-SWAP,,,,,,,,,,缺少周期: 4h
RVN-USDT-SWAP,,,,,,,,,,缺少周期: 4h
USDC-USDT-SWAP,,,,,,,,,,缺少周期: 4h
ZEC-USDT-SWAP,,,,,,,,,,有效历史不足 24 个月
